Generic Group,Generic Brand,Generic Product Category,Generic Product,Variable Group,Generic Variable,Generic LookupKey,Units,Time Period,Value
Consumer Market,Sandesh Brand 1,Broadband,Total across Products,Addressable base,Total Addressable Market,Consumer MarketSandesh Brand 1BroadbandTotal across ProductsTotal Addressable Market,(000)s,14/15_Q4_Mar,0.63351605
Consumer Market,Sandesh Brand 1,Broadband,Total across Products,Addressable base,Total Addressable Market,Consumer MarketSandesh Brand 1BroadbandTotal across ProductsTotal Addressable Market,(000)s,15/16_Q4_Mar,0.476024086
Consumer Market,Sandesh Brand 1,Broadband,Total across Products,Addressable base,Total Addressable Market,Consumer MarketSandesh Brand 1BroadbandTotal across ProductsTotal Addressable Market,(000)s,16/17_Q4_Mar,0.32428139
Consumer Market,Sandesh Brand 1,Broadband,Total across Products,Addressable base,Total Addressable Market,Consumer MarketSandesh Brand 1BroadbandTotal across ProductsTotal Addressable Market,(000)s,17/18_Q4_Mar,0.474971925
Consumer Market,Market,Market,Total across Products,Addressable base,Existing households adding BB for first time,Consumer MarketMarketMarketTotal across ProductsExisting households adding BB for first time,(000)s,14/15_Q4_Mar,0.512329528
Consumer Market,Market,Market,Total across Products,Addressable base,Existing households adding BB for first time,Consumer MarketMarketMarketTotal across ProductsExisting households adding BB for first time,(000)s,15/16_Q4_Mar,0.518640589
Consumer Market,Market,Market,Total across Products,Addressable base,Existing households adding BB for first time,Consumer MarketMarketMarketTotal across ProductsExisting households adding BB for first time,(000)s,16/17_Q4_Mar,0.259041142
Consumer Market,Market,Market,Total across Products,Addressable base,Existing households adding BB for first time,Consumer MarketMarketMarketTotal across ProductsExisting households adding BB for first time,(000)s,17/18_Q4_Mar,0.498171925
Consumer Market,Market,Market,Total across Products,Addressable base,Immigration,Consumer MarketMarketMarketTotal across ProductsImmigration,(000)s,14/15_Q4_Mar,0.432876669
Consumer Market,Market,Market,Total across Products,Addressable base,Immigration,Consumer MarketMarketMarketTotal across ProductsImmigration,(000)s,15/16_Q4_Mar,0.429862775
Consumer Market,Market,Market,Total across Products,Addressable base,Immigration,Consumer MarketMarketMarketTotal across ProductsImmigration,(000)s,16/17_Q4_Mar,0.427082709
Consumer Market,Market,Market,Total across Products,Addressable base,Immigration,Consumer MarketMarketMarketTotal across ProductsImmigration,(000)s,17/18_Q4_Mar,0.436023203
Consumer Market,Market,Market,Total across Products,Addressable base,New households requiring Broadband,Consumer MarketMarketMarketTotal across ProductsNew households requiring Broadband,(000)s,14/15_Q4_Mar,0.514957585
Consumer Market,Market,Market,Total across Products,Addressable base,New households requiring Broadband,Consumer MarketMarketMarketTotal across ProductsNew households requiring Broadband,(000)s,15/16_Q4_Mar,0.507125467
